0022300559,33
0022300559,63
0022300559,75
0022300559,531
0022300559,648
0022300272,89
0022300272,202
0022300272,390
0022300272,542
0022300571,522
0022300448,565
0022300703,168
0022300703,551
0022300497,166
0022300497,233
0022300497,505
0022300497,625
0022300497,665
0022300696,33
0022300696,513
0022300696,682
0022300345,9
0022300345,238
0022300345,336
0022300345,570
0022300376,7
0022300376,369
0022300376,538
0022301223,50
0022301223,256
0022301223,388
0022301223,436
0022300994,80
0022300994,196
0022300994,345
0022300994,399
0022300994,547
0022300994,559
0022300785,21
0022300785,85
0022300785,386
0022300073,11
0022300965,7
0022300965,221
0022300965,231
0022300252,17
0022300252,350
0022300252,507
0022300252,553
0022300936,469
0022300936,652
0022300051,238
0022300051,322
0022300942,155
0022300942,508
0022300891,9
0022300891,158
0022300891,168
0022300891,343
0022300891,577
0022300891,600
0022300891,632
0022300298,30
0022300298,83
0022300298,238
0022300298,247
0022300298,318
0022300083,582
0022300083,633
0022300083,636
0022300235,508
0022300235,557
0022300235,629
0022300223,42
0022300223,437
0022300099,14
0022300813,11
0022300813,386
0022300813,618
0022300813,636
0022300813,648
0022300331,42
0022300331,78
0022300316,184
0022300316,312
0022300316,329
0022300316,337
0022300316,520
0022300316,534
0022300730,19
0022300184,364
0022300477,213
0022300477,364
0022300477,531
0022300477,624
0022300477,635
0022300838,44
0022300838,306
0022300838,413
0022300838,621
0022300649,365
0022300649,494
0022301210,470
0022300013,41
0022300013,205
0022300013,597
0022300013,622
0022300981,12
0022300981,229
0022300981,340
0022300981,342
0022300981,524
0022300981,696
0022300981,723
0022300750,436
0022300161,143
0022300734,35
0022300734,198
0022300734,485
0022300681,53
0022300681,205
0022300681,359
0022300681,506
0022300681,651
0022300877,177
0022300877,210
0022300877,333
0022300877,366
0022300877,387
0022300877,614
0022300146,348
0022300146,382
0022300608,351
0022300608,575
0022301025,132
0022300131,7
0022300131,507
0022300113,55
0022300113,399
0022300113,522
0022300113,543
0022300641,38
0022300641,44
0022300427,175
0022300427,178
0022300427,210
0022300427,343
0022300427,364
0022300427,426
0022300427,582
0022300803,41
0022300803,162
0022300803,338
0022300803,495
0022300803,504
0022301015,384
0022301015,483
0022301015,531
0022300853,55
0022300853,63
0022300853,227
0022300853,537
0022300853,635
0022300825,16
0022300825,64
0022300825,69
0022300825,390
0022300825,415
0022300764,7
0022300764,28
0022300764,58
0022300764,366
0022300764,373
0022300764,378
0022300764,381
0022300764,475
0022300764,492
0022300764,602
0022300665,273
0022300665,390
0022300665,451
0022300622,27
0022300622,40
0022300622,222
0022300622,416
0022300594,58
0022300594,212
0022300594,229
0022300594,369
0022300594,676
0022300594,683
0022300541,220
0022300541,250
0022300460,14
0022300460,19
0022300460,199
0022300460,241
0022300412,28
0022300412,361
0022300412,376
0022300412,556
0022300412,650
0022300206,26
0022300206,185
0022300206,213
0022300206,429
0022300206,553
0022300206,645
0022300206,680
0022300206,694
0022300021,198
0022300021,599
0022300141,33
0022300141,147
0022300141,179
0022300141,364
0022300141,468
001522300006,29
001522300006,183
001522300006,312
001522300006,511
001522300006,538
